Product ID,Brand,Warranty Years,Material,Release Date,Sustainability Rating
OFF-AR-10002671,Acme,3,Glass,2011-12-15,B
TEC-PH-10002726,Apex,1,Glass,2019-09-16,A
OFF-PA-10000482,Staples,5,Wood,2010-08-11,D
OFF-BI-10004654,Global,2,Glass,2012-05-13,B
OFF-PA-10004675,OfficePro,2,Metal,2022-08-31,B
FUR-CH-10000513,WorkSmart,1,Wood,2013-11-26,C
FUR-FU-10003708,Acme,1,Glass,2016-04-23,B
OFF-ST-10004123,Apex,2,Wood,2011-10-16,C
OFF-BI-10004182,Global,2,Paper,2013-03-05,D
FUR-FU-10000260,Apex,2,Wood,2015-01-17,B
OFF-ST-10000615,Apex,1,Metal,2011-03-20,B
FUR-FU-10003194,BizWorks,3,Plastic,2016-10-01,D
OFF-AP-10002118,WorkSmart,3,Wood,2022-10-14,A
OFF-BI-10002309,OfficePro,1,Composite,2023-12-25,A
OFF-AR-10002053,Global,2,Metal,2022-02-23,D
OFF-ST-10002370,Acme,3,Fabric,2017-10-28,C
OFF-EN-10000927,OfficePro,2,Paper,2013-07-04,D
OFF-ST-10003656,Acme,1,Metal,2018-04-28,A
FUR-CH-10000863,Staples,2,Plastic,2020-05-23,A
TEC-AC-10001998,Apex,1,Glass,2019-12-17,A
OFF-LA-10000134,Staples,1,Glass,2020-04-16,B
OFF-ST-10003442,BizWorks,1,Metal,2010-04-10,B
OFF-AR-10004930,Apex,2,Fabric,2015-09-18,B
OFF-PA-10000304,WorkSmart,1,Glass,2016-04-29,A
OFF-PA-10003177,OfficePro,5,Paper,2021-08-16,B
FUR-FU-10003799,Acme,1,Composite,2017-06-30,B
OFF-BI-10002852,BizWorks,1,Fabric,2024-05-06,A
OFF-BI-10004738,WorkSmart,2,Metal,2014-05-27,D
FUR-FU-10000629,Acme,1,Fabric,2018-02-01,A
OFF-BI-10001721,OfficePro,2,Glass,2020-11-25,C
OFF-AP-10000358,Global,1,Glass,2018-09-30,C
OFF-PA-10003256,BizWorks,1,Metal,2021-11-18,B
TEC-AC-10001767,Staples,1,Glass,2022-10-27,A
OFF-BI-10002609,Staples,2,Glass,2018-06-20,B
OFF-PA-10004040,Acme,1,Composite,2018-02-10,C
TEC-AC-10001552,Acme,3,Composite,2017-04-16,A
FUR-FU-10004006,Acme,2,Plastic,2012-05-05,C
OFF-BI-10002794,BizWorks,2,Composite,2015-11-17,D
TEC-AC-10003499,OfficePro,2,Wood,2023-06-27,D
TEC-PH-10002844,Global,2,Fabric,2013-10-18,B
OFF-AR-10000390,Staples,5,Fabric,2014-09-13,C
TEC-AC-10000844,WorkSmart,1,Metal,2021-05-14,D
FUR-FU-10001934,Apex,1,Composite,2014-09-22,B
OFF-AR-10000380,BizWorks,1,Plastic,2015-05-08,A
OFF-BI-10003981,BizWorks,1,Glass,2024-01-29,A
OFF-FA-10000621,OfficePro,1,Plastic,2010-07-04,A
OFF-EN-10002600,Staples,2,Plastic,2011-06-06,C
OFF-PA-10004965,Global,2,Paper,2016-04-30,B
OFF-EN-10002504,OfficePro,5,Glass,2013-06-02,C
FUR-TA-10001768,WorkSmart,1,Wood,2014-07-17,C
OFF-BI-10003650,Staples,1,Composite,2024-02-14,B
FUR-FU-10002157,OfficePro,5,Glass,2012-09-29,B
OFF-ST-10000777,Staples,3,Plastic,2018-11-02,A
OFF-EN-10002500,Staples,2,Glass,2018-08-05,C
TEC-PH-10003875,BizWorks,2,Wood,2015-04-13,B
FUR-CH-10004063,Global,3,Fabric,2011-01-29,B
FUR-TA-10004534,BizWorks,2,Metal,2014-06-06,A
OFF-BI-10003274,Apex,1,Composite,2019-12-21,D
OFF-ST-10002974,Global,3,Composite,2011-10-23,D
FUR-CH-10001146,Staples,2,Paper,2024-05-17,B
FUR-FU-10003773,OfficePro,1,Fabric,2021-05-27,B
TEC-PH-10002293,WorkSmart,2,Composite,2010-11-16,C
OFF-PA-10002377,Global,2,Paper,2016-02-03,A
OFF-FA-10002780,Apex,3,Paper,2011-08-07,A
OFF-PA-10001804,Staples,1,Paper,2019-11-10,B
OFF-PA-10001736,WorkSmart,3,Composite,2011-08-05,A
OFF-AR-10001149,Global,2,Composite,2020-02-14,B
OFF-FA-10002988,BizWorks,2,Composite,2014-11-03,B
OFF-BI-10004781,BizWorks,1,Wood,2014-04-06,B
OFF-SU-10001218,Global,3,Paper,2014-12-04,A
OFF-AR-10000940,Global,5,Wood,2021-07-08,B
OFF-EN-10004030,Global,1,Metal,2012-09-25,B
OFF-PA-10004327,WorkSmart,1,Composite,2012-01-28,B
OFF-AP-10001058,BizWorks,2,Glass,2010-10-10,B
FUR-FU-10000521,OfficePro,3,Fabric,2024-02-23,D
TEC-PH-10000215,Apex,1,Plastic,2023-05-29,A
TEC-PH-10001448,Apex,2,Metal,2010-05-11,C
OFF-BI-10002735,Staples,2,Glass,2013-07-17,A
OFF-AP-10000326,Acme,1,Plastic,2010-03-02,B
TEC-PH-10001254,OfficePro,2,Plastic,2016-01-21,B
OFF-PA-10001950,BizWorks,1,Composite,2014-03-29,B
OFF-PA-10002254,Staples,3,Fabric,2021-12-16,C
OFF-ST-10001590,Staples,2,Plastic,2014-11-17,B
OFF-AR-10001547,Global,2,Paper,2010-02-07,B
OFF-LA-10002475,Acme,1,Glass,2019-12-11,C
TEC-PH-10004536,BizWorks,1,Plastic,2017-04-18,A
OFF-PA-10002751,Acme,3,Metal,2011-04-19,A
TEC-AC-10003657,OfficePro,2,Fabric,2010-02-28,A
OFF-EN-10001990,Acme,2,Fabric,2017-03-21,A
OFF-BI-10004002,Staples,2,Plastic,2017-02-27,B
OFF-AR-10004441,Acme,2,Fabric,2017-02-27,B
TEC-MA-10000822,Acme,1,Metal,2023-09-09,A
OFF-ST-10000991,Apex,1,Glass,2022-04-06,A
FUR-CH-10004287,BizWorks,1,Metal,2013-11-12,C
OFF-AR-10002656,BizWorks,3,Metal,2010-03-26,C
OFF-AP-10002518,Staples,1,Paper,2014-03-14,D
TEC-PH-10003931,WorkSmart,1,Composite,2020-05-25,D
OFF-PA-10000659,Acme,3,Plastic,2017-04-28,D
OFF-PA-10001144,Acme,1,Glass,2017-11-13,C
FUR-CH-10003817,Global,2,Fabric,2018-07-18,B
OFF-AP-10000891,BizWorks,1,Metal,2012-12-26,A
OFF-LA-10003148,Acme,1,Plastic,2017-10-05,B
OFF-AP-10002684,BizWorks,2,Glass,2021-07-26,A
FUR-CH-10004698,Acme,1,Glass,2015-09-08,C
OFF-SU-10002189,Apex,3,Plastic,2018-09-26,B
OFF-AR-10001940,Staples,2,Composite,2023-02-09,B
OFF-ST-10003455,BizWorks,1,Paper,2021-07-30,A
TEC-AC-10004659,OfficePro,1,Fabric,2013-04-23,B
TEC-PH-10003273,Staples,2,Paper,2019-10-18,B
TEC-PH-10004896,Global,1,Glass,2022-12-25,A
TEC-AC-10002345,Staples,1,Fabric,2017-01-25,B
OFF-BI-10001890,Acme,2,Glass,2020-05-15,A
TEC-AC-10002323,Global,3,Metal,2011-05-31,B
OFF-ST-10001328,Staples,2,Metal,2016-01-22,B
FUR-BO-10002613,Global,3,Plastic,2018-02-22,C
TEC-PH-10001552,OfficePro,3,Fabric,2012-07-21,B
OFF-PA-10000061,Staples,1,Fabric,2014-07-22,B
OFF-AR-10003514,BizWorks,3,Glass,2011-07-11,D
OFF-AR-10004685,BizWorks,3,Paper,2014-07-30,B
OFF-AR-10004027,WorkSmart,1,Metal,2012-09-19,B
OFF-ST-10001414,Acme,5,Wood,2014-06-17,B
OFF-BI-10000343,Global,1,Plastic,2014-08-19,C
OFF-PA-10002749,WorkSmart,1,Fabric,2023-04-15,B
OFF-PA-10002666,WorkSmart,3,Composite,2013-01-09,B
FUR-TA-10004289,Apex,2,Composite,2013-06-24,C
OFF-AP-10003622,Global,1,Wood,2017-12-12,A
OFF-AP-10003217,WorkSmart,1,Metal,2022-12-28,C
FUR-FU-10002960,Apex,3,Metal,2013-11-10,B
TEC-PH-10001918,WorkSmart,3,Metal,2019-12-26,B
OFF-ST-10000642,Acme,2,Paper,2023-12-06,C
TEC-PH-10001700,OfficePro,5,Glass,2013-08-23,A
OFF-FA-10000134,Apex,1,Composite,2022-12-07,C
OFF-ST-10001522,OfficePro,1,Metal,2015-08-17,D
TEC-AC-10001266,Global,2,Composite,2012-08-11,B
OFF-LA-10004544,Acme,3,Wood,2015-01-17,D
FUR-BO-10004695,Apex,1,Plastic,2017-09-03,A
TEC-MA-10000864,Global,1,Glass,2010-01-10,C
TEC-AC-10000109,WorkSmart,3,Paper,2017-02-22,B
TEC-PH-10002563,BizWorks,5,Fabric,2010-05-02,B
OFF-FA-10000585,Staples,2,Wood,2023-02-04,A
OFF-PA-10004000,Global,1,Glass,2017-01-04,B
FUR-FU-10000087,OfficePro,5,Composite,2018-04-26,A
TEC-MA-10001148,Acme,3,Wood,2011-03-17,D
OFF-AR-10001958,Acme,2,Fabric,2017-07-12,C
OFF-AR-10001026,Global,3,Glass,2011-08-14,A
FUR-TA-10003748,WorkSmart,3,Paper,2013-09-30,A
OFF-ST-10002485,Staples,5,Plastic,2015-06-13,C
FUR-CH-10004860,OfficePro,3,Fabric,2013-09-23,B
FUR-CH-10004477,Global,2,Glass,2020-05-01,A
OFF-BI-10001679,Global,2,Paper,2015-08-27,B
FUR-TA-10001705,BizWorks,2,Composite,2016-08-12,B
FUR-TA-10003473,Acme,2,Fabric,2018-01-30,A
FUR-FU-10004017,OfficePro,3,Wood,2017-07-31,C
TEC-AC-10003832,Staples,5,Metal,2019-05-10,B
OFF-PA-10002479,Acme,2,Wood,2014-04-26,A
OFF-PA-10003349,Global,2,Composite,2023-09-13,D
FUR-FU-10000576,Acme,2,Glass,2010-04-25,B
FUR-FU-10004351,Acme,2,Plastic,2013-09-30,A
TEC-PH-10000011,Apex,2,Fabric,2010-05-19,A
FUR-TA-10002607,Acme,1,Glass,2023-06-25,A
FUR-FU-10002505,WorkSmart,2,Plastic,2023-07-13,B
OFF-ST-10002276,Acme,1,Composite,2019-03-28,A
OFF-PA-10004082,WorkSmart,1,Fabric,2013-08-08,B
OFF-AP-10002945,OfficePro,3,Paper,2010-03-15,A
FUR-CH-10002965,Acme,1,Paper,2020-07-13,B
OFF-PA-10004569,Staples,1,Glass,2011-04-29,C
OFF-ST-10001228,WorkSmart,1,Wood,2021-04-04,B
OFF-EN-10003296,WorkSmart,1,Glass,2014-03-30,B
OFF-ST-10004804,Global,3,Wood,2013-09-21,D
TEC-PH-10001580,OfficePro,2,Composite,2015-03-12,B
TEC-AC-10000290,Acme,3,Paper,2024-05-13,B
OFF-ST-10002790,BizWorks,1,Fabric,2021-07-26,B
OFF-BI-10003460,Staples,1,Paper,2011-05-26,C
OFF-AP-10002203,Global,1,Wood,2011-02-27,A
TEC-MA-10003353,OfficePro,3,Glass,2016-08-29,B
TEC-PH-10001433,WorkSmart,2,Composite,2015-03-22,B
TEC-AC-10004469,Staples,5,Paper,2021-11-06,B
OFF-AR-10003602,Acme,2,Composite,2012-08-16,C
OFF-FA-10003472,BizWorks,2,Paper,2012-04-04,B
OFF-ST-10004180,Apex,3,Glass,2010-03-06,A
OFF-EN-10004386,Apex,5,Plastic,2023-06-30,D
OFF-ST-10003208,OfficePro,1,Glass,2022-11-24,A
TEC-AC-10003628,BizWorks,1,Paper,2019-03-03,A
FUR-FU-10003274,Staples,2,Wood,2012-03-11,B
OFF-BI-10002557,Global,2,Glass,2010-10-05,C
OFF-PA-10002615,Staples,5,Fabric,2014-09-14,C
OFF-AR-10001427,BizWorks,2,Wood,2016-08-10,D
OFF-PA-10000673,WorkSmart,1,Wood,2013-05-23,A
OFF-PA-10004470,Apex,5,Wood,2022-05-21,B
OFF-ST-10000876,OfficePro,3,Composite,2014-01-26,A
OFF-LA-10002043,Acme,1,Metal,2022-10-26,C
OFF-BI-10004967,Staples,5,Metal,2019-01-12,B
TEC-PH-10001760,Apex,1,Plastic,2022-03-29,A
FUR-TA-10002903,Global,1,Wood,2018-03-15,C
OFF-PA-10000474,OfficePro,5,Metal,2010-04-03,B
TEC-AC-10001956,Acme,2,Plastic,2019-09-02,B
OFF-PA-10004100,Staples,1,Composite,2023-09-19,C
OFF-BI-10000778,Global,1,Wood,2015-01-15,A
OFF-SU-10000646,Acme,3,Fabric,2019-08-29,A
OFF-FA-10002983,WorkSmart,1,Composite,2014-06-10,A
OFF-LA-10004689,Apex,2,Plastic,2014-04-11,B
TEC-AC-10002001,WorkSmart,2,Composite,2013-11-17,A
FUR-BO-10004709,Apex,1,Fabric,2018-02-12,B
FUR-FU-10004091,Global,2,Composite,2021-06-22,A
FUR-CH-10001891,WorkSmart,3,Plastic,2023-11-03,D
FUR-FU-10002918,Apex,2,Fabric,2013-02-04,A
OFF-BI-10004593,OfficePro,1,Fabric,2013-11-14,A
OFF-FA-10004854,Global,1,Composite,2019-11-07,A
OFF-PA-10002105,Apex,2,Fabric,2020-04-02,C
OFF-ST-10002756,Staples,3,Glass,2015-10-20,B
OFF-PA-10004243,Apex,1,Composite,2011-10-26,C
FUR-FU-10001861,WorkSmart,1,Wood,2023-11-13,C
OFF-BI-10002706,OfficePro,2,Fabric,2017-03-19,D
FUR-TA-10002533,Acme,2,Composite,2017-08-06,C
FUR-FU-10002671,Acme,1,Wood,2020-11-13,A
OFF-AR-10003651,Apex,3,Fabric,2024-05-29,C
OFF-BI-10001072,Acme,1,Wood,2019-07-23,D
OFF-AR-10002135,Apex,3,Paper,2014-04-21,D
OFF-AR-10002804,OfficePro,2,Fabric,2014-03-04,A
FUR-FU-10001918,Acme,2,Paper,2012-09-14,B
FUR-CH-10004086,WorkSmart,1,Plastic,2018-11-13,A
FUR-FU-10001756,WorkSmart,3,Plastic,2020-07-12,A
OFF-LA-10000634,Staples,1,Composite,2020-02-11,C
FUR-FU-10001588,Apex,1,Metal,2010-04-09,D
TEC-PH-10002398,Acme,2,Paper,2016-04-07,B
OFF-PA-10001937,WorkSmart,3,Paper,2014-02-23,C
OFF-AR-10003373,BizWorks,1,Plastic,2021-10-07,A
FUR-CH-10002602,OfficePro,1,Paper,2011-09-26,A
TEC-MA-10002927,OfficePro,3,Metal,2023-04-04,B
TEC-AC-10000892,BizWorks,3,Wood,2022-07-22,B
OFF-FA-10000624,BizWorks,1,Wood,2011-08-02,C
TEC-AC-10001908,Staples,2,Metal,2020-11-03,B
FUR-FU-10001967,OfficePro,2,Paper,2010-09-30,B
TEC-PH-10003645,OfficePro,2,Paper,2023-05-14,B
OFF-ST-10000675,Acme,3,Paper,2020-10-29,A
FUR-CH-10003312,Apex,1,Glass,2020-10-02,D
OFF-LA-10001074,Global,3,Composite,2011-03-29,B
OFF-BI-10001524,OfficePro,2,Fabric,2013-03-21,B
TEC-PH-10004614,OfficePro,2,Metal,2023-06-13,C
OFF-BI-10001153,Global,2,Metal,2011-02-18,B
OFF-BI-10001982,OfficePro,5,Glass,2014-03-31,C
OFF-BI-10001922,Acme,1,Metal,2022-05-24,A
TEC-CO-10001449,Acme,1,Metal,2023-08-31,A
OFF-BI-10004140,Global,1,Glass,2015-05-01,D
OFF-BI-10003314,WorkSmart,5,Metal,2024-03-31,C
FUR-TA-10004575,OfficePro,3,Paper,2010-07-11,B
OFF-FA-10000490,WorkSmart,2,Glass,2010-02-10,B
OFF-AR-10000122,OfficePro,1,Composite,2015-02-03,D
TEC-PH-10000702,Apex,3,Plastic,2013-08-25,A
OFF-AR-10001374,OfficePro,3,Paper,2019-06-12,A
OFF-PA-10001970,Acme,2,Paper,2010-05-16,B
OFF-BI-10002160,Staples,1,Fabric,2021-07-03,A
OFF-BI-10004995,BizWorks,1,Glass,2022-08-20,A
FUR-BO-10002268,Staples,2,Plastic,2015-04-26,C
OFF-EN-10001137,Staples,3,Metal,2014-04-15,A
OFF-AR-10002399,Staples,1,Plastic,2021-07-23,C
OFF-PA-10002713,BizWorks,2,Composite,2011-01-24,B
OFF-AP-10001124,WorkSmart,1,Wood,2014-04-08,B
OFF-LA-10001158,BizWorks,3,Paper,2015-10-23,B
FUR-CH-10000785,WorkSmart,2,Glass,2012-10-25,B
OFF-AR-10003732,BizWorks,1,Glass,2019-09-05,A
FUR-FU-10000023,BizWorks,2,Plastic,2010-03-23,A
OFF-BI-10002412,OfficePro,1,Fabric,2012-02-15,C
OFF-SU-10001225,WorkSmart,1,Composite,2018-04-27,A
OFF-ST-10002406,OfficePro,3,Wood,2021-12-22,A
OFF-PA-10002036,Apex,1,Composite,2017-11-27,D
OFF-ST-10002205,OfficePro,1,Glass,2015-02-22,D
TEC-AC-10003911,Staples,1,Metal,2016-03-21,B
OFF-AR-10000658,Global,1,Wood,2014-05-27,A
TEC-AC-10002076,Global,1,Glass,2018-08-06,C
OFF-PA-10003039,Acme,1,Fabric,2011-08-29,C
FUR-TA-10004915,Acme,2,Wood,2022-12-19,A
OFF-AP-10000696,OfficePro,1,Glass,2019-05-08,A
OFF-ST-10003327,BizWorks,3,Fabric,2020-01-14,C
OFF-BI-10000309,BizWorks,1,Metal,2015-11-15,D
OFF-PA-10004734,Global,1,Fabric,2021-09-10,C
OFF-BI-10002225,Staples,1,Composite,2020-04-23,A
TEC-AC-10004708,WorkSmart,3,Plastic,2013-10-08,B
FUR-TA-10000617,Staples,2,Composite,2019-06-25,B
TEC-AC-10002335,Staples,3,Glass,2010-12-14,A
TEC-MA-10001681,OfficePro,1,Glass,2010-01-01,A
FUR-FU-10001935,OfficePro,3,Paper,2010-03-04,A
OFF-AR-10004757,Apex,1,Composite,2014-11-19,B
OFF-BI-10000050,Staples,1,Wood,2020-06-11,B
TEC-PH-10003012,BizWorks,2,Metal,2010-08-14,C
TEC-CO-10002313,BizWorks,1,Paper,2012-11-08,C
OFF-BI-10003982,Staples,5,Paper,2012-04-24,D
OFF-BI-10004492,OfficePro,1,Paper,2017-05-04,C
OFF-ST-10000798,OfficePro,5,Glass,2021-04-12,A
OFF-PA-10002552,Apex,2,Plastic,2013-05-19,B
OFF-SU-10002573,Apex,2,Fabric,2015-06-08,B
OFF-ST-10001580,Acme,1,Wood,2021-08-27,A
OFF-ST-10000934,Global,1,Glass,2013-07-02,D
TEC-AC-10000158,Staples,5,Metal,2014-05-14,A
OFF-PA-10001947,BizWorks,1,Glass,2016-12-26,B
OFF-AR-10003478,Staples,2,Plastic,2015-05-07,B
OFF-AP-10004249,Apex,5,Glass,2014-08-23,B
TEC-CO-10004115,Apex,1,Glass,2012-08-12,B
OFF-PA-10003724,Acme,2,Composite,2019-01-05,B
FUR-TA-10002041,Global,2,Metal,2010-12-23,A
OFF-PA-10002893,Acme,1,Paper,2019-11-05,A
OFF-LA-10003766,BizWorks,1,Metal,2012-08-26,D
OFF-PA-10001970,Global,2,Metal,2010-08-30,A
FUR-BO-10001972,WorkSmart,1,Composite,2019-06-09,A
FUR-CH-10003956,Staples,3,Fabric,2021-08-05,B
OFF-PA-10000157,Acme,1,Glass,2015-11-15,A
OFF-AR-10004344,Apex,5,Wood,2010-05-27,B
FUR-CH-10004886,Acme,1,Paper,2024-03-04,B
OFF-PA-10003845,WorkSmart,2,Fabric,2024-02-18,C
OFF-AR-10001573,Acme,2,Plastic,2011-06-27,C
OFF-EN-10000483,Staples,1,Glass,2011-11-23,A
TEC-AC-10004114,WorkSmart,1,Paper,2012-10-22,B
FUR-FU-10004712,Apex,3,Wood,2021-02-02,A
OFF-ST-10000918,Apex,3,Glass,2020-12-19,A
FUR-CH-10000015,OfficePro,1,Plastic,2019-03-14,B
FUR-FU-10003347,WorkSmart,2,Composite,2024-05-24,A
OFF-BI-10001543,OfficePro,1,Fabric,2018-01-30,B
TEC-MA-10000029,OfficePro,1,Glass,2011-12-31,C
OFF-AR-10000369,Staples,2,Paper,2022-04-27,C
OFF-BI-10004584,Acme,3,Metal,2016-12-30,C
OFF-ST-10000617,Apex,1,Wood,2013-02-24,A
OFF-ST-10003306,Apex,5,Glass,2014-10-02,B
OFF-BI-10000773,Acme,1,Paper,2012-11-04,A
TEC-AC-10002600,Apex,2,Metal,2017-12-22,B
TEC-MA-10002937,Acme,2,Paper,2023-04-03,A
OFF-PA-10002230,WorkSmart,2,Glass,2016-12-15,A
FUR-CH-10003396,Staples,2,Plastic,2022-02-01,B
FUR-FU-10000246,Staples,1,Metal,2013-05-27,C
OFF-ST-10000060,BizWorks,3,Metal,2012-02-12,C
OFF-ST-10003058,Staples,3,Paper,2015-04-01,B
OFF-PA-10002222,Acme,1,Composite,2019-05-06,B
FUR-CH-10002372,BizWorks,3,Glass,2016-11-04,B
OFF-LA-10001317,Acme,1,Composite,2019-06-03,B
FUR-FU-10000206,Global,3,Fabric,2023-10-19,A
OFF-AR-10000588,BizWorks,1,Plastic,2019-09-16,C
OFF-ST-10001469,Apex,1,Composite,2013-04-28,B
OFF-AR-10001953,Apex,1,Paper,2018-01-10,A
OFF-AR-10003156,Global,2,Glass,2011-02-23,A
OFF-AR-10004974,Global,2,Composite,2020-05-09,A
TEC-PH-10002365,Staples,1,Fabric,2023-08-01,B
OFF-ST-10000142,Global,1,Wood,2012-02-28,C
TEC-AC-10001772,Acme,1,Fabric,2015-02-15,B
FUR-CH-10000225,OfficePro,2,Metal,2022-07-27,B
FUR-CH-10002331,Acme,2,Glass,2024-02-15,D
OFF-EN-10001415,BizWorks,1,Metal,2015-07-19,A
OFF-AP-10002472,Global,1,Composite,2016-09-12,A
TEC-AC-10004571,Apex,3,Composite,2023-03-17,B
OFF-BI-10001098,Acme,1,Fabric,2011-07-15,C
FUR-TA-10001889,Apex,1,Fabric,2017-04-05,B
OFF-BI-10000315,Acme,1,Paper,2024-05-15,B
OFF-SU-10003505,Apex,2,Plastic,2020-09-09,D
OFF-AP-10002578,WorkSmart,2,Paper,2011-06-24,C
FUR-BO-10002824,Acme,2,Metal,2023-01-08,A
OFF-BI-10002194,BizWorks,1,Paper,2018-08-03,C
OFF-PA-10004071,Apex,3,Fabric,2019-01-03,A
OFF-ST-10002743,OfficePro,1,Glass,2017-02-23,B
FUR-BO-10001601,BizWorks,3,Paper,2023-06-14,A
TEC-PH-10002680,Staples,2,Wood,2015-04-29,B
OFF-ST-10001321,Acme,2,Plastic,2018-08-12,B
OFF-PA-10001509,OfficePro,1,Fabric,2017-07-21,C
OFF-PA-10003465,Staples,1,Glass,2018-12-05,B
TEC-PH-10000149,Acme,2,Composite,2021-03-31,B
OFF-AR-10003045,OfficePro,2,Paper,2015-03-11,A
OFF-ST-10000689,OfficePro,1,Fabric,2016-11-05,D
TEC-AC-10001445,BizWorks,5,Composite,2017-09-30,C
TEC-AC-10002567,WorkSmart,5,Composite,2020-08-09,A
OFF-LA-10003923,OfficePro,2,Metal,2010-02-17,D
FUR-BO-10001337,WorkSmart,5,Metal,2016-06-22,B
TEC-PH-10001924,Global,1,Glass,2016-03-06,B
TEC-PH-10001363,BizWorks,1,Fabric,2022-10-17,C
TEC-PH-10000376,Apex,1,Glass,2012-01-24,A
TEC-AC-10000303,BizWorks,2,Fabric,2024-02-12,D
OFF-ST-10001809,Staples,1,Wood,2017-09-03,B
OFF-EN-10003845,Apex,5,Plastic,2022-09-24,A
TEC-AC-10000991,Apex,1,Plastic,2020-01-01,C
FUR-TA-10001857,WorkSmart,1,Fabric,2011-02-07,C
OFF-EN-10001434,Apex,3,Metal,2024-04-23,A
OFF-BI-10002498,OfficePro,1,Paper,2015-09-18,A
FUR-FU-10004864,WorkSmart,1,Glass,2016-02-06,C
FUR-FU-10000073,Apex,2,Wood,2019-05-04,A
OFF-BI-10001670,WorkSmart,1,Plastic,2018-03-10,D
OFF-BI-10001658,Global,1,Fabric,2022-09-18,C
FUR-CH-10001215,WorkSmart,1,Metal,2013-02-23,B
